clean_text,category
:black_flag:,1
:white_medium-small_square:,1
:denmark:,0
:argentina:,1
:closed_book:,0
:sport_utility_vehicle:,1
:trade_mark:,-1
:baby_bottle:,0
:poultry_leg:,1
:wine_glass:,1
:busts_in_silhouette:,0
:two_women_holding_hands:,1
:cat:,0
:rabbit_face:,1
:dog_face:,-1
:money-mouth_face:,0
:radio:,-1
:bellhop_bell:,0
:key:,1
:bird:,1
:cowboy_hat_face:,-1
:laptop_computer:,1
:cooking:,0
:paintbrush:,1
:no_mobile_phones:,-1
:regional_indicator_symbol_letter_q:,1
:a_button_(blood_type):,1
:regional_indicator_symbol_letter_n:,-1
:right_arrow_curving_left:,1
:biohazard:,0
:tropical_drink:,0
:twelve_o’clock:,1
:banana:,0
:sports_medal:,0
:double_curly_loop:,1
:regional_indicator_symbol_letter_b:,1
:black_medium-small_square:,-1
:white_flag:,1
:person_in_bed:,-1
:senegal:,1
:muted_speaker:,-1
:christmas_tree:,1
:panda_face:,1
:weary_cat_face:,1
:meat_on_bone:,1
:custard:,1
:reverse_button:,-1
:clipboard:,1
:nigeria:,0
:poland:,0
:portugal:,0
:dress:,1
:credit_card:,1
:ambulance:,-1
:green_salad:,1
:hot_dog:,-1
:high-heeled_shoe:,-1
:taco:,-1
:teacup_without_handle:,1
:horse_racing:,0
:family:,1
:baby_angel:,1
:bikini:,-1
:sunglasses:,1
:people_with_bunny_ears:,1
:alien_monster:,-1
:snowman_without_snow:,1
:germany:,1
:chicken:,1
:atom_symbol:,-1
:sun_behind_rain_cloud:,1
:volcano:,1
:white_exclamation_mark:,1
:cloud_with_lightning:,1
:right-facing_fist:,-1
:alien:,-1
:restroom:,1
:person_cartwheeling:,-1
:cucumber:,-1
:watermelon:,-1
:tomato:,1
:school:,-1
:sun_behind_large_cloud:,1
:wrench:,0
:regional_indicator_symbol_letter_h:,1
:old_key:,1
:six_o’clock:,1
:mantelpiece_clock:,1
:paperclip:,1
:hammer_and_wrench:,-1
:wind_face:,1
:left_arrow_curving_right:,0
:grinning_cat_face_with_smiling_eyes:,1
:saxophone:,1
:regional_indicator_symbol_letter_l:,0
:black_medium_square:,0
:first_quarter_moon_face:,1
:last_quarter_moon_face:,1
:video_game:,1
:crystal_ball:,1
:twelve-thirty:,0
:nine_o’clock:,1
:bicycle:,1
:ant:,-1
:cat_face:,-1
:clinking_beer_mugs:,1
:fast_down_button:,0
:statue_of_liberty:,0
:fried_shrimp:,-1
:spaghetti:,1
:blue_book:,0
:martial_arts_uniform:,1
:office_building:,1
:switzerland:,0
:stuffed_flatbread:,-1
:vulcan_salute:,1
:trumpet:,1
:euro_banknote:,0
:lipstick:,1
:label:,1
:honduras:,0
:musical_keyboard:,1
:t-shirt:,1
:five-thirty:,0
:left-facing_fist:,-1
:person_getting_haircut:,1
:rat:,-1
:desert_island:,1
:sailboat:,-1
:lying_face:,-1
:pick:,-1
:dango:,1
:telephone:,-1
:fast_reverse_button:,-1
:sos_button:,-1
:play_button:,0
:spade_suit:,1
:medical_symbol:,1
:cyclone:,-1
:anchor:,1
:night_with_stars:,1
:two_men_holding_hands:,1
:bus:,-1
:shopping_bags:,1
:pancakes:,1
:jack-o-lantern:,1
:person_lifting_weights:,0
:construction_worker:,0
:goal_net:,1
:basketball:,0
:santa_claus:,0
:kiss:,0
:crayon:,0
:fork_and_knife_with_plate:,-1
:umbrella:,-1
:chains:,-1
:briefcase:,-1
:up-left_arrow:,1
:globe_with_meridians:,1
:spiral_shell:,1
:turkey:,-1
:israel:,-1
:united_kingdom:,0
:spain:,1
:peru:,1
:magnifying_glass_tilted_right:,1
:uruguay:,1
:person_pouting:,-1
:pot_of_food:,1
:burrito:,-1
:tangerine:,1
:japanese_passing_grade_button:,0
:upwards_button:,0
:articulated_lorry:,1
:crocodile:,0
:baby_chick:,1
:fog:,0
:detective:,-1
:nose:,1
:monkey:,1
:national_park:,1
:tropical_fish:,-1
:penguin:,1
:goat:,-1
:selfie:,1
:person_bouncing_ball:,1
:fish:,-1
:elephant:,1
:sunrise_over_mountains:,0
:wolf_face:,1
:circled_m:,1
:name_badge:,0
:antenna_bars:,0
:curly_loop:,1
:end_arrow:,1
:guinea:,-1
:palestinian_territories:,1
:e-mail:,-1
:pineapple:,1
:clinking_glasses:,1
:belgium:,0
:shallow_pan_of_food:,1
:fork_and_knife:,1
:austria:,-1
:woman’s_hat:,1
:locomotive:,-1
:seven_o’clock:,1
:film_projector:,1
:pound_banknote:,-1
:microscope:,-1
:steaming_bowl:,0
:two-hump_camel:,-1
:tiger:,1
:bat:,1
:spider_web:,1
:mouse:,-1
:chestnut:,1
:cooked_rice:,1
:copyright:,-1
:black_square_button:,-1
:regional_indicator_symbol_letter_u:,0
:keycap_digit_two:,1
:libra:,-1
:regional_indicator_symbol_letter_d:,-1
:heavy_dollar_sign:,1
:input_numbers:,0
:men’s_room:,1
:keycap_digit_one:,1
:south_africa:,1
:club_suit:,0
:person_golfing:,1
:hourglass_done:,-1
:framed_picture:,1
:ten_o’clock:,1
:airplane_departure:,1
:eight_o’clock:,1
:man_in_tuxedo:,-1
:person_playing_handball:,-1
:moai:,-1
:tent:,1
:kissing_cat_face:,1
:bookmark_tabs:,-1
:school_backpack:,-1
:inbox_tray:,1
:performing_arts:,-1
:construction:,-1
:orange_book:,0
:regional_indicator_symbol_letter_j:,1
:locked:,-1
:part_alternation_mark:,1
:virgo:,1
:regional_indicator_symbol_letter_c:,1
:up_arrow:,1
:france:,1
:up-down_arrow:,1
:speaker_low_volume:,-1
:glass_of_milk:,1
:bento_box:,1
:ferris_wheel:,1
:new_zealand:,0
:greece:,1
:croatia:,0
:regional_indicator_symbol_letter_f:,-1
:mouse_face:,-1
:vibration_mode:,-1
:notebook:,-1
:page_with_curl:,-1
:robot_face:,1
:admission_tickets:,1
:four_o’clock:,0
:person_biking:,1
:person_juggling:,-1
:person_surfing:,-1
:pregnant_woman:,-1
:volleyball:,-1
:green_book:,1
:small_airplane:,1
:electric_plug:,-1
:yen_banknote:,0
:police_car:,-1
:page_facing_up:,-1
:duck:,0
:mountain:,1
:poodle:,-1
:hamster_face:,0
:rabbit:,1
:shark:,-1
:ear_of_corn:,1
:bottle_with_popping_cork:,1
:lemon:,1
:bread:,1
:japanese_congratulations_button:,0
:door:,0
:castle:,1
:church:,1
:prince:,1
:guard:,1
:eight-thirty:,1
:shopping_cart:,0
:3rd_place_medal:,1
:film_frames:,-1
:racing_car:,1
:tennis:,0
:flashlight:,1
:oncoming_police_car:,0
:curry_rice:,0
:boxing_glove:,-1
:vertical_traffic_light:,-1
:spoon:,-1
:necktie:,-1
:red_paper_lantern:,0
:five_o’clock:,-1
:two_o’clock:,1
:tractor:,-1
:coffin:,-1
:magnifying_glass_tilted_left:,0
:woman’s_clothes:,-1
:shower:,-1
:package:,-1
:jeans:,-1
:sake:,0
:sushi:,1
:baguette_bread:,1
:waxing_gibbous_moon:,1
:cheese_wedge:,0
:monkey_face:,-1
:waning_gibbous_moon:,1
:pig_face:,-1
:first_quarter_moon:,1
:whale:,-1
:snowman:,-1
:spouting_whale:,1
:bug:,-1
:desert:,-1
:cow:,-1
:leopard:,1
:beach_with_umbrella:,1
:waning_crescent_moon:,1
:colombia:,0
:pakistan:,1
:mexico:,1
:united_states:,-1
:china:,1
:netherlands:,1
:fast_up_button:,0
:atm_sign:,0
:aries:,1
:children_crossing:,0
:on!_arrow:,0
:bear_face:,0
:new_moon:,1
:spiral_notepad:,1
:pisces:,1
:no_pedestrians:,-1
:heavy_plus_sign:,-1
:wheelchair_symbol:,1
:unlocked:,0
:no_smoking:,-1
:cocktail_glass:,1
:baby_symbol:,-1
:passenger_ship:,-1
:tumbler_glass:,-1
:pear:,1
:regional_indicator_symbol_letter_z:,0
:norway:,0
:ascension_island:,0
:congo_-_kinshasa:,-1
:uganda:,0
:congo_-_brazzaville:,0
:burkina_faso:,0
:crossed_flags:,1
:south_korea:,0
:right_arrow:,0
:yin_yang:,1
:world_map:,0
:peanuts:,1
:hot_pepper:,0
:female_sign:,1
:speaker_medium_volume:,-1
:new_button:,0
:white_square_button:,0
:fast-forward_button:,0
:star_and_crescent:,0
:right_arrow_curving_up:,1
:o_button_(blood_type):,-1
:aquarius:,1
:up-right_arrow:,0
:infinity:,0
:cl_button:,0
:gear:,-1
:oden:,1
:seat:,-1
:turtle:,-1
:shield:,0
:pool_8_ball:,-1
:funeral_urn:,1
:high-speed_train:,1
:2nd_place_medal:,1
:dvd:,0
:ship:,0
:optical_disk:,0
:badminton:,0
:fuel_pump:,-1
:joker:,1
:ox:,-1
:fire_engine:,1
:delivery_truck:,1
:notebook_with_decorative_cover:,0
:ballot_box_with_ballot:,-1
:oncoming_taxi:,0
:straight_ruler:,1
:running_shoe:,0
:open_file_folder:,1
:minibus:,1
:pine_decoration:,1
:roasted_sweet_potato:,0
:pig_nose:,1
:camping:,-1
:satellite:,1
:joystick:,1
:spider:,0
:hotel:,0
:bank:,0
:tokyo_tower:,-1
:speedboat:,-1
:trolleybus:,-1
:shrimp:,1
:dragon_face:,0
:tiger_face:,0
:unicorn_face:,-1
:cityscape:,-1
:classical_building:,1
:venezuela:,0
:azerbaijan:,1
:guernsey:,0
:chad:,-1
:namibia:,0
:armenia:,1
:ukraine:,1
:south_georgia_&_south_sandwich_islands:,0
:india:,-1
:clipperton_island:,-1
:japanese_dolls:,0
:man_in_suit_levitating:,0
:japanese_castle:,0
:no_littering:,0
:women’s_room:,0
:japanese_secret_button:,0
:capricorn:,1
:potable_water:,1
:keycap_2:,-1
:circus_tent:,0
:hospital:,-1
:department_store:,1
:motorway:,1
:taxi:,-1
:keycap_10:,0
:rolled-up_newspaper:,0
:seven-thirty:,0
:helicopter:,1
:closed_umbrella:,0
:bowling:,0
:aerial_tramway:,0
:thermometer:,1
:nine-thirty:,0
:one_o’clock:,1
:eleven_o’clock:,1
:gemini:,1
:om:,1
:airplane_selector:,1
:white_question_mark:,-1
:person_rowing_boat:,1
:man_with_chinese_cap:,1
:snowboarder:,-1
:person_fencing:,1
:person_taking_bath:,-1
:hammer_and_pick:,0
:registered:,0
:japanese_discount_button:,0
:keycap_3:,-1
:mobile_phone_off:,1
:left-right_arrow:,-1
:scissors:,-1
:free_button:,0
:star_of_david:,-1
:shuffle_tracks_button:,0
:regional_indicator_symbol_letter_v:,1
:sagittarius:,1
:level_slider:,1
:locked_with_pen:,-1
:record_button:,0
:down-right_arrow:,0
:b_button_(blood_type):,1
:mahjong_red_dragon:,1
:kick_scooter:,-1
:chipmunk:,1
:boar:,-1
:avocado:,-1
:croissant:,-1
:bacon:,0
:kiwi_fruit:,-1
:rice_ball:,0
:mushroom:,0
:scorpion:,-1
:turkey:,1
:mount_fuji:,0
:octopus:,1
:water_buffalo:,-1
:metro:,-1
:fox_face:,0
:pig:,-1
:owl:,0
:lizard:,1
:cityscape_at_dusk:,1
:rooster:,0
:crab:,-1
:waxing_crescent_moon:,1
:lady_beetle:,0
:dragon:,1
:triangular_ruler:,0
:timer_clock:,0
:baseball:,-1
:open_mailbox_with_lowered_flag:,1
:motor_scooter:,-1
:ticket:,0
:ice_hockey:,1
:telescope:,0
:ferry:,-1
:motor_boat:,-1
:wind_chime:,1
:field_hockey:,1
:rescue_worker’s_helmet:,0
:slot_machine:,1
:ten-thirty:,-1
:computer_mouse:,0
:chart_increasing_with_yen:,0
:rugby_football:,0
:nut_and_bolt:,0
:umbrella_on_ground:,0
:chess_pawn:,0
:bed:,0
:chart_decreasing:,-1
:running_shirt:,0
:kimono:,-1
:bullet_train:,-1
:liberia:,1
